title,author,rank,date
PROJECT HAIL MARY,by Andy Weir,8,2021-07-04
THE OTHER BLACK GIRL,by Zakiya Dalila Harris,9,2021-07-04
TOM CLANCY: TARGET ACQUIRED,by Don Bentley,10,2021-07-04
THE FOUR WINDS,by Kristin Hannah,11,2021-07-04
THE SWEETNESS OF WATER,by Nathan Harris,12,2021-07-04
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,13,2021-07-04
LEGACY,by Nora Roberts,14,2021-07-04
A GAMBLING MAN,by David Baldacci,15,2021-07-04
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,1,2021-07-11
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-07-11
MALIBU RISING,by Taylor Jenkins Reid,3,2021-07-11
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-07-11
GOLDEN GIRL,by Elin Hilderbrand,5,2021-07-11
THE MAIDENS,by Alex Michaelides,6,2021-07-11
SOOLEY,by John Grisham,7,2021-07-11
PROJECT HAIL MARY,by Andy Weir,8,2021-07-11
THE FOUR WINDS,by Kristin Hannah,9,2021-07-11
THE OTHER BLACK GIRL,by Zakiya Dalila Harris,10,2021-07-11
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,11,2021-07-11
THE HILL WE CLIMB,by Amanda Gorman,12,2021-07-11
THE VANISHING HALF,by Brit Bennett,13,2021-07-11
THE SWEETNESS OF WATER,by Nathan Harris,14,2021-07-11
TOM CLANCY: TARGET ACQUIRED,by Don Bentley,15,2021-07-11
THE LAST THING HE TOLD ME,by Laura Dave,1,2021-07-18
MALIBU RISING,by Taylor Jenkins Reid,2,2021-07-18
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,3,2021-07-18
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-07-18
GOLDEN GIRL,by Elin Hilderbrand,5,2021-07-18
SURVIVE THE NIGHT,by Riley Sager,6,2021-07-18
THE MAIDENS,by Alex Michaelides,7,2021-07-18
THE PERSONAL LIBRARIAN,by Marie Benedict and Victoria Christopher Murray,8,2021-07-18
STAR WARS: THE RISING STORM,by Cavan Scott,9,2021-07-18
SOOLEY,by John Grisham,10,2021-07-18
THE FOUR WINDS,by Kristin Hannah,11,2021-07-18
THE OTHER BLACK GIRL,by Zakiya Dalila Harris,12,2021-07-18
PROJECT HAIL MARY,by Andy Weir,13,2021-07-18
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-07-18
THAT SUMMER,by Jennifer Weiner,15,2021-07-18
THE PAPER PALACE,by Miranda Cowley Heller,1,2021-07-25
FALLING,by T.J. Newman,2,2021-07-25
NINE LIVES,by Danielle Steel,3,2021-07-25
THE LAST THING HE TOLD ME,by Laura Dave,4,2021-07-25
MALIBU RISING,by Taylor Jenkins Reid,5,2021-07-25
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,6,2021-07-25
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-07-25
GOLDEN GIRL,by Elin Hilderbrand,8,2021-07-25
THE MAIDENS,by Alex Michaelides,9,2021-07-25
RAZORBLADE TEARS,by S.A. Cosby,10,2021-07-25
THE FOUR WINDS,by Kristin Hannah,11,2021-07-25
PROJECT HAIL MARY,by Andy Weir,12,2021-07-25
SOOLEY,by John Grisham,13,2021-07-25
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-07-25
THE PERSONAL LIBRARIAN,by Marie Benedict and Victoria Christopher Murray,15,2021-07-25
THE CELLIST,by Daniel Silva,1,2021-08-01
THE PAPER PALACE,by Miranda Cowley Heller,2,2021-08-01
THE LAST THING HE TOLD ME,by Laura Dave,3,2021-08-01
IT'S BETTER THIS WAY,by Debbie Macomber,4,2021-08-01
MALIBU RISING,by Taylor Jenkins Reid,5,2021-08-01
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,6,2021-08-01
NINE LIVES,by Danielle Steel,7,2021-08-01
THE MIDNIGHT LIBRARY,by Matt Haig,8,2021-08-01
THE PERSONAL LIBRARIAN,by Marie Benedict and Victoria Christopher Murray,9,2021-08-01
FALLING,by T.J. Newman,10,2021-08-01
THE FINAL GIRL SUPPORT GROUP,by Grady Hendrix,11,2021-08-01
GOLDEN GIRL,by Elin Hilderbrand,12,2021-08-01
PROJECT HAIL MARY,by Andy Weir,13,2021-08-01
THE MAIDENS,by Alex Michaelides,14,2021-08-01
THE FOUR WINDS,by Kristin Hannah,15,2021-08-01
BLACK ICE,by Brad Thor,1,2021-08-08
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-08-08
THE CELLIST,by Daniel Silva,3,2021-08-08
THE PAPER PALACE,by Miranda Cowley Heller,4,2021-08-08
MALIBU RISING,by Taylor Jenkins Reid,5,2021-08-08
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-08-08
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,7,2021-08-08
FALSE WITNESS,by Karin Slaughter,8,2021-08-08
FALLING,by T.J. Newman,9,2021-08-08
THE PERSONAL LIBRARIAN,by Marie Benedict and Victoria Christopher Murray,10,2021-08-08
NINE LIVES,by Danielle Steel,11,2021-08-08
IT'S BETTER THIS WAY,by Debbie Macomber,12,2021-08-08
THE MAIDENS,by Alex Michaelides,13,2021-08-08
GOLDEN GIRL,by Elin Hilderbrand,14,2021-08-08
PROJECT HAIL MARY,by Andy Weir,15,2021-08-08
THE LAST THING HE TOLD ME,by Laura Dave,1,2021-08-15
THE PAPER PALACE,by Miranda Cowley Heller,2,2021-08-15
NOT A HAPPY FAMILY,by Shari Lapena,3,2021-08-15
MALIBU RISING,by Taylor Jenkins Reid,4,2021-08-15
THE CELLIST,by Daniel Silva,5,2021-08-15
BLACK ICE,by Brad Thor,6,2021-08-15
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-08-15
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,8,2021-08-15
PROJECT HAIL MARY,by Andy Weir,9,2021-08-15
THE MAIDENS,by Alex Michaelides,10,2021-08-15
THE FOUR WINDS,by Kristin Hannah,11,2021-08-15
GOLDEN GIRL,by Elin Hilderbrand,12,2021-08-15
SOOLEY,by John Grisham,13,2021-08-15
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-08-15
THE PERSONAL LIBRARIAN,by Marie Benedict and Victoria Christopher Murray,15,2021-08-15
BILLY SUMMERS,by Stephen King,1,2021-08-22
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-08-22
WE WERE NEVER HERE,by Andrea Bartz,3,2021-08-22
THE PAPER PALACE,by Miranda Cowley Heller,4,2021-08-22
BLIND TIGER,by Sandra Brown,5,2021-08-22
NOT A HAPPY FAMILY,by Shari Lapena,6,2021-08-22
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-08-22
MALIBU RISING,by Taylor Jenkins Reid,8,2021-08-22
THE CELLIST,by Daniel Silva,9,2021-08-22
BLACK ICE,by Brad Thor,10,2021-08-22
WE ARE THE BRENNANS,by Tracey Lange,11,2021-08-22
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,12,2021-08-22
THE TURNOUT,by Megan Abbott,13,2021-08-22
AFTERPARTIES,by Anthony Veasna So,14,2021-08-22
ONCE THERE WERE WOLVES,by Charlotte McConaghy,15,2021-08-22
BILLY SUMMERS,by Stephen King,1,2021-08-29
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-08-29
THE PAPER PALACE,by Miranda Cowley Heller,3,2021-08-29
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-08-29
MALIBU RISING,by Taylor Jenkins Reid,5,2021-08-29
WE WERE NEVER HERE,by Andrea Bartz,6,2021-08-29
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,7,2021-08-29
THE CELLIST,by Daniel Silva,8,2021-08-29
VORTEX,by Catherine Coulter,9,2021-08-29
BLIND TIGER,by Sandra Brown,10,2021-08-29
NOT A HAPPY FAMILY,by Shari Lapena,11,2021-08-29
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,12,2021-08-29
BLACK ICE,by Brad Thor,13,2021-08-29
PROJECT HAIL MARY,by Andy Weir,14,2021-08-29
THE FOUR WINDS,by Kristin Hannah,15,2021-08-29
BILLY SUMMERS,by Stephen King,1,2021-09-05
BLOODLESS,by Douglas Preston and Lincoln Child,2,2021-09-05
COMPLICATIONS,by Danielle Steel,3,2021-09-05
THE NOISE,by James Patterson and J.D. Barker,4,2021-09-05
THE LAST THING HE TOLD ME,by Laura Dave,5,2021-09-05
THE PAPER PALACE,by Miranda Cowley Heller,6,2021-09-05
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-09-05
MALIBU RISING,by Taylor Jenkins Reid,8,2021-09-05
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,9,2021-09-05
CHASING THE BOOGEYMAN,by Richard Chizmar,10,2021-09-05
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,11,2021-09-05
THE CELLIST,by Daniel Silva,12,2021-09-05
WE WERE NEVER HERE,by Andrea Bartz,13,2021-09-05
GOLDEN GIRL,by Elin Hilderbrand,14,2021-09-05
THE FOUR WINDS,by Kristin Hannah,15,2021-09-05
THE MADNESS OF CROWDS,by Louise Penny,1,2021-09-12
BILLY SUMMERS,by Stephen King,2,2021-09-12
THE LAST THING HE TOLD ME,by Laura Dave,3,2021-09-12
THE LOVE SONGS OF W.E.B. DU BOIS,by Honorée Fanonne Jeffers,4,2021-09-12
LIGHTNING STRIKE,by William Kent Krueger,5,2021-09-12
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-09-12
THE NOISE,by James Patterson and J.D. Barker,7,2021-09-12
COMPLICATIONS,by Danielle Steel,8,2021-09-12
THE PAPER PALACE,by Miranda Cowley Heller,9,2021-09-12
BLOODLESS,by Douglas Preston and Lincoln Child,10,2021-09-12
MALIBU RISING,by Taylor Jenkins Reid,11,2021-09-12
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,12,2021-09-12
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,13,2021-09-12
WE WERE NEVER HERE,by Andrea Bartz,14,2021-09-12
PROJECT HAIL MARY,by Andy Weir,15,2021-09-12
A SLOW FIRE BURNING,by Paula Hawkins,1,2021-09-19
BILLY SUMMERS,by Stephen King,2,2021-09-19
THE MADNESS OF CROWDS,by Louise Penny,3,2021-09-19
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-09-19
THE NOISE,by James Patterson and J.D. Barker,5,2021-09-19
THE PAPER PALACE,by Miranda Cowley Heller,6,2021-09-19
MALIBU RISING,by Taylor Jenkins Reid,7,2021-09-19
THE LAST THING HE TOLD ME,by Laura Dave,8,2021-09-19
COMPLICATIONS,by Danielle Steel,9,2021-09-19
WE WERE NEVER HERE,by Andrea Bartz,10,2021-09-19
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,11,2021-09-19
THE LOVE SONGS OF W.E.B. DU BOIS,by Honorée Fanonne Jeffers,12,2021-09-19
PROJECT HAIL MARY,by Andy Weir,13,2021-09-19
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-09-19
LIGHTNING STRIKE,by William Kent Krueger,15,2021-09-19
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,1,2021-09-26
FORGOTTEN IN DEATH,by J.D. Robb,2,2021-09-26
BILLY SUMMERS,by Stephen King,3,2021-09-26
A SLOW FIRE BURNING,by Paula Hawkins,4,2021-09-26
MATRIX,by Lauren Groff,5,2021-09-26
ROCK PAPER SCISSORS,by Alice Feeney,6,2021-09-26
THE LAST THING HE TOLD ME,by Laura Dave,7,2021-09-26
THE MADNESS OF CROWDS,by Louise Penny,8,2021-09-26
THE MIDNIGHT LIBRARY,by Matt Haig,9,2021-09-26
THE NIGHT SHE DISAPPEARED,by Lisa Jewell,10,2021-09-26
THE NOISE,by James Patterson and J.D. Barker,11,2021-09-26
THE PAPER PALACE,by Miranda Cowley Heller,12,2021-09-26
MALIBU RISING,by Taylor Jenkins Reid,13,2021-09-26
L.A. WEATHER,by María Amparo Escandón,14,2021-09-26
THE HERON'S CRY,by Ann Cleeves,15,2021-09-26
APPLES NEVER FALL,by Liane Moriarty,1,2021-10-03
HARLEM SHUFFLE,by Colson Whitehead,2,2021-10-03
VINCE FLYNN: ENEMY AT THE GATES,by Kyle Mills,3,2021-10-03
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,4,2021-10-03
BILLY SUMMERS,by Stephen King,5,2021-10-03
THE LAST THING HE TOLD ME,by Laura Dave,6,2021-10-03
A SLOW FIRE BURNING,by Paula Hawkins,7,2021-10-03
EMPIRE OF THE VAMPIRE,by Jay Kristoff,8,2021-10-03
FORGOTTEN IN DEATH,by J.D. Robb,9,2021-10-03
THE MIDNIGHT LIBRARY,by Matt Haig,10,2021-10-03
THE MADNESS OF CROWDS,by Louise Penny,11,2021-10-03
MATRIX,by Lauren Groff,12,2021-10-03
THE PAPER PALACE,by Miranda Cowley Heller,13,2021-10-03
MALIBU RISING,by Taylor Jenkins Reid,14,2021-10-03
THE WISDOM OF CROWDS,by Joe Abercrombie,15,2021-10-03
APPLES NEVER FALL,by Liane Moriarty,1,2021-10-10
THE JAILHOUSE LAWYER,by James Patterson and Nancy Allen,2,2021-10-10
HARLEM SHUFFLE,by Colson Whitehead,3,2021-10-10
UNDER THE WHISPERING DOOR,by TJ Klune,4,2021-10-10
BILLY SUMMERS,by Stephen King,5,2021-10-10
VINCE FLYNN: ENEMY AT THE GATES,by Kyle Mills,6,2021-10-10
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,7,2021-10-10
BEWILDERMENT,by Richard Powers,8,2021-10-10
THE LAST THING HE TOLD ME,by Laura Dave,9,2021-10-10
DAUGHTER OF THE MORNING STAR,by Craig Johnson,10,2021-10-10
A SLOW FIRE BURNING,by Paula Hawkins,11,2021-10-10
THE MIDNIGHT LIBRARY,by Matt Haig,12,2021-10-10
FORGOTTEN IN DEATH,by J.D. Robb,13,2021-10-10
THE MADNESS OF CROWDS,by Louise Penny,14,2021-10-10
THE PAPER PALACE,by Miranda Cowley Heller,15,2021-10-10
THE WISH,by Nicholas Sparks,1,2021-10-17
CLOUD CUCKOO LAND,by Anthony Doerr,2,2021-10-17
APPLES NEVER FALL,by Liane Moriarty,3,2021-10-17
HARLEM SHUFFLE,by Colson Whitehead,4,2021-10-17
THE LAST GRADUATE,by Naomi Novik,5,2021-10-17
THE JAILHOUSE LAWYER,by James Patterson and Nancy Allen,6,2021-10-17
BEWILDERMENT,by Richard Powers,7,2021-10-17
THE MAN WHO DIED TWICE,by Richard Osman,8,2021-10-17
BILLY SUMMERS,by Stephen King,9,2021-10-17
THE SANTA SUIT,by Mary Kay Andrews,10,2021-10-17
THE LAST THING HE TOLD ME,by Laura Dave,11,2021-10-17
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,12,2021-10-17
VINCE FLYNN: ENEMY AT THE GATES,by Kyle Mills,13,2021-10-17
THE MIDNIGHT LIBRARY,by Matt Haig,14,2021-10-17
A SLOW FIRE BURNING,by Paula Hawkins,15,2021-10-17
THE LINCOLN HIGHWAY,by Amor Towles,1,2021-10-24
THE WISH,by Nicholas Sparks,2,2021-10-24
CLOUD CUCKOO LAND,by Anthony Doerr,3,2021-10-24
CROSSROADS,by Jonathan Franzen,4,2021-10-24
APPLES NEVER FALL,by Liane Moriarty,5,2021-10-24
HARLEM SHUFFLE,by Colson Whitehead,6,2021-10-24
THE BUTLER,by Danielle Steel,7,2021-10-24
THE LAST THING HE TOLD ME,by Laura Dave,8,2021-10-24
BILLY SUMMERS,by Stephen King,9,2021-10-24
THE JAILHOUSE LAWYER,by James Patterson and Nancy Allen,10,2021-10-24
BEWILDERMENT,by Richard Powers,11,2021-10-24
THREE SISTERS,by Heather Morris,12,2021-10-24
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,13,2021-10-24
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-10-24
VINCE FLYNN: ENEMY AT THE GATES,by Kyle Mills,15,2021-10-24
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,1,2021-10-31
THE WISH,by Nicholas Sparks,2,2021-10-31
THE LINCOLN HIGHWAY,by Amor Towles,3,2021-10-31
CLOUD CUCKOO LAND,by Anthony Doerr,4,2021-10-31
APPLES NEVER FALL,by Liane Moriarty,5,2021-10-31
SILVERVIEW,by John Le Carré,6,2021-10-31
THE LAST THING HE TOLD ME,by Laura Dave,7,2021-10-31
THE BOOK OF MAGIC,by Alice Hoffman,8,2021-10-31
HARLEM SHUFFLE,by Colson Whitehead,9,2021-10-31
THE BUTLER,by Danielle Steel,10,2021-10-31
BILLY SUMMERS,by Stephen King,11,2021-10-31
CROSSROADS,by Jonathan Franzen,12,2021-10-31
THE MIDNIGHT LIBRARY,by Matt Haig,13,2021-10-31
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,14,2021-10-31
THE JAILHOUSE LAWYER,by James Patterson and Nancy Allen,15,2021-10-31
THE JUDGE'S LIST,by John Grisham,1,2021-11-07
THE LINCOLN HIGHWAY,by Amor Towles,2,2021-11-07
THE WISH,by Nicholas Sparks,3,2021-11-07
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,4,2021-11-07
CLOUD CUCKOO LAND,by Anthony Doerr,5,2021-11-07
DEAR SANTA,by Debbie Macomber,6,2021-11-07
APPLES NEVER FALL,by Liane Moriarty,7,2021-11-07
OH WILLIAM!,by Elizabeth Strout,8,2021-11-07
THE LAST THING HE TOLD ME,by Laura Dave,9,2021-11-07
SILVERVIEW,by John Le Carré,10,2021-11-07
BILLY SUMMERS,by Stephen King,11,2021-11-07
THE MIDNIGHT LIBRARY,by Matt Haig,12,2021-11-07
CROSSROADS,by Jonathan Franzen,13,2021-11-07
HARLEM SHUFFLE,by Colson Whitehead,14,2021-11-07
THE BUTLER,by Danielle Steel,15,2021-11-07
THE JUDGE'S LIST,by John Grisham,1,2021-11-14
BETTER OFF DEAD,by Lee Child and Andrew Child,2,2021-11-14
THE WISH,by Nicholas Sparks,3,2021-11-14
THE LINCOLN HIGHWAY,by Amor Towles,4,2021-11-14
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,5,2021-11-14
CLOUD CUCKOO LAND,by Anthony Doerr,6,2021-11-14
APPLES NEVER FALL,by Liane Moriarty,7,2021-11-14
THE LAST THING HE TOLD ME,by Laura Dave,8,2021-11-14
BILLY SUMMERS,by Stephen King,9,2021-11-14
THE MIDNIGHT LIBRARY,by Matt Haig,10,2021-11-14
FORGIVING PARIS,by Karen Kingsbury,11,2021-11-14
SILVERVIEW,by John Le Carré,12,2021-11-14
DEAR SANTA,by Debbie Macomber,13,2021-11-14
OH WILLIAM!,by Elizabeth Strout,14,2021-11-14
HARLEM SHUFFLE,by Colson Whitehead,15,2021-11-14
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,1,2021-11-21
THE JUDGE'S LIST,by John Grisham,2,2021-11-21
GAME ON,by Janet Evanovich,3,2021-11-21
BETTER OFF DEAD,by Lee Child and Andrew Child,4,2021-11-21
THE WISH,by Nicholas Sparks,5,2021-11-21
THE LINCOLN HIGHWAY,by Amor Towles,6,2021-11-21
CLOUD CUCKOO LAND,by Anthony Doerr,7,2021-11-21
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,8,2021-11-21
APPLES NEVER FALL,by Liane Moriarty,9,2021-11-21
OUR COUNTRY FRIENDS,by Gary Shteyngart,10,2021-11-21
THE FAMILY,by Naomi Krupitsky,11,2021-11-21
THE MIDNIGHT LIBRARY,by Matt Haig,12,2021-11-21
BILLY SUMMERS,by Stephen King,13,2021-11-21
THE LAST THING HE TOLD ME,by Laura Dave,14,2021-11-21
OH WILLIAM!,by Elizabeth Strout,15,2021-11-21
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,1,2021-11-28
THE DARK HOURS,by Michael Connelly,2,2021-11-28
THE JUDGE'S LIST,by John Grisham,3,2021-11-28
THE WISH,by Nicholas Sparks,4,2021-11-28
NEVER,by Ken Follett,5,2021-11-28
BETTER OFF DEAD,by Lee Child and Andrew Child,6,2021-11-28
GAME ON,by Janet Evanovich,7,2021-11-28
THE LINCOLN HIGHWAY,by Amor Towles,8,2021-11-28
THE SENTENCE,by Louise Erdrich,9,2021-11-28
BILLY SUMMERS,by Stephen King,10,2021-11-28
CLOUD CUCKOO LAND,by Anthony Doerr,11,2021-11-28
THE MIDNIGHT LIBRARY,by Matt Haig,12,2021-11-28
THE LAST THING HE TOLD ME,by Laura Dave,13,2021-11-28
APPLES NEVER FALL,by Liane Moriarty,14,2021-11-28
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,15,2021-11-28
THE JUDGE'S LIST,by John Grisham,1,2021-12-05
MERCY,by David Baldacci,2,2021-12-05
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,3,2021-12-05
THE WISH,by Nicholas Sparks,4,2021-12-05
THE LINCOLN HIGHWAY,by Amor Towles,5,2021-12-05
THE DARK HOURS,by Michael Connelly,6,2021-12-05
BETTER OFF DEAD,by Lee Child and Andrew Child,7,2021-12-05
GAME ON,by Janet Evanovich,8,2021-12-05
CLIVE CUSSLER'S THE DEVIL'S SEA,by Dirk Cussler,9,2021-12-05
CLOUD CUCKOO LAND,by Anthony Doerr,10,2021-12-05
NEVER,by Ken Follett,11,2021-12-05
BILLY SUMMERS,by Stephen King,12,2021-12-05
TOM CLANCY: CHAIN OF COMMAND,by Marc Cameron,13,2021-12-05
THE MIDNIGHT LIBRARY,by Matt Haig,14,2021-12-05
THE LAST THING HE TOLD ME,by Laura Dave,15,2021-12-05
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,1,2021-12-12
THE BECOMING,by Nora Roberts,2,2021-12-12
THE JUDGE'S LIST,by John Grisham,3,2021-12-12
FEAR NO EVIL,by James Patterson,4,2021-12-12
THE WISH,by Nicholas Sparks,5,2021-12-12
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,6,2021-12-12
THE CHRISTMAS PROMISE,by Richard Paul Evans,7,2021-12-12
FLYING ANGELS,by Danielle Steel,8,2021-12-12
THE LINCOLN HIGHWAY,by Amor Towles,9,2021-12-12
MERCY,by David Baldacci,10,2021-12-12
THE DARK HOURS,by Michael Connelly,11,2021-12-12
THE MIDNIGHT LIBRARY,by Matt Haig,12,2021-12-12
CLOUD CUCKOO LAND,by Anthony Doerr,13,2021-12-12
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,14,2021-12-12
BILLY SUMMERS,by Stephen King,15,2021-12-12
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,1,2021-12-19
WISH YOU WERE HERE,by Jodi Picoult,2,2021-12-19
THE JUDGE'S LIST,by John Grisham,3,2021-12-19
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,4,2021-12-19
THE WISH,by Nicholas Sparks,5,2021-12-19
THE LINCOLN HIGHWAY,by Amor Towles,6,2021-12-19
FEAR NO EVIL,by James Patterson,7,2021-12-19
AUTOPSY,by Patricia Cornwell,8,2021-12-19
LEVIATHAN FALLS,by James S.A. Corey,9,2021-12-19
CLOUD CUCKOO LAND,by Anthony Doerr,10,2021-12-19
THE MIDNIGHT LIBRARY,by Matt Haig,11,2021-12-19
THE DARK HOURS,by Michael Connelly,12,2021-12-19
MERCY,by David Baldacci,13,2021-12-19
THE BECOMING,by Nora Roberts,14,2021-12-19
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,15,2021-12-19
CALL US WHAT WE CARRY,by Amanda Gorman,1,2021-12-26
THE JUDGE'S LIST,by John Grisham,2,2021-12-26
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,3,2021-12-26
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,4,2021-12-26
THE LINCOLN HIGHWAY,by Amor Towles,5,2021-12-26
WISH YOU WERE HERE,by Jodi Picoult,6,2021-12-26
THE WISH,by Nicholas Sparks,7,2021-12-26
FEAR NO EVIL,by James Patterson,8,2021-12-26
CLOUD CUCKOO LAND,by Anthony Doerr,9,2021-12-26
THE MIDNIGHT LIBRARY,by Matt Haig,10,2021-12-26
MERCY,by David Baldacci,11,2021-12-26
AUTOPSY,by Patricia Cornwell,12,2021-12-26
THE DARK HOURS,by Michael Connelly,13,2021-12-26
BILLY SUMMERS,by Stephen King,14,2021-12-26
THE LAST THING HE TOLD ME,by Laura Dave,15,2021-12-26
CALL US WHAT WE CARRY,by Amanda Gorman,1,2022-01-02
THE JUDGE'S LIST,by John Grisham,2,2022-01-02
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,3,2022-01-02
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-01-02
THE WISH,by Nicholas Sparks,5,2022-01-02
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,6,2022-01-02
WISH YOU WERE HERE,by Jodi Picoult,7,2022-01-02
CLOUD CUCKOO LAND,by Anthony Doerr,8,2022-01-02
FEAR NO EVIL,by James Patterson,9,2022-01-02
THE MIDNIGHT LIBRARY,by Matt Haig,10,2022-01-02
BILLY SUMMERS,by Stephen King,11,2022-01-02
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-01-02
MERCY,by David Baldacci,13,2022-01-02
PROJECT HAIL MARY,by Andy Weir,14,2022-01-02
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,15,2022-01-02
THE JUDGE'S LIST,by John Grisham,1,2022-01-09
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,2,2022-01-09
CALL US WHAT WE CARRY,by Amanda Gorman,3,2022-01-09
THE WISH,by Nicholas Sparks,4,2022-01-09
THE LINCOLN HIGHWAY,by Amor Towles,5,2022-01-09
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,6,2022-01-09
CLOUD CUCKOO LAND,by Anthony Doerr,7,2022-01-09
WISH YOU WERE HERE,by Jodi Picoult,8,2022-01-09
THE MIDNIGHT LIBRARY,by Matt Haig,9,2022-01-09
BILLY SUMMERS,by Stephen King,10,2022-01-09
FEAR NO EVIL,by James Patterson,11,2022-01-09
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-01-09
STATE OF TERROR,by Hillary Rodham Clinton and Louise Penny,13,2022-01-09
MERCY,by David Baldacci,14,2022-01-09
HARLEM SHUFFLE,by Colson Whitehead,15,2022-01-09
THE JUDGE'S LIST,by John Grisham,1,2022-01-16
WISH YOU WERE HERE,by Jodi Picoult,2,2022-01-16
THE STRANGER IN THE LIFEBOAT,by Mitch Albom,3,2022-01-16
THE LINCOLN HIGHWAY,by Amor Towles,4,2022-01-16
THE MIDNIGHT LIBRARY,by Matt Haig,5,2022-01-16
CLOUD CUCKOO LAND,by Anthony Doerr,6,2022-01-16
CALL US WHAT WE CARRY,by Amanda Gorman,7,2022-01-16
THE WISH,by Nicholas Sparks,8,2022-01-16
GO TELL THE BEES THAT I AM GONE,by Diana Gabaldon,9,2022-01-16
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,10,2022-01-16
UNDER THE WHISPERING DOOR,by TJ Klune,11,2022-01-16
THE LAST THING HE TOLD ME,by Laura Dave,12,2022-01-16
"BEAUTIFUL WORLD, WHERE ARE YOU",by Sally Rooney,13,2022-01-16
A SLOW FIRE BURNING,by Paula Hawkins,14,2022-01-16
THE DARK HOURS,by Michael Connelly,15,2022-01-16
INVISIBLE,by Danielle Steel,1,2022-01-23
THE MIDNIGHT LIBRARY,by Matt Haig,2,2022-01-23
CALL US WHAT WE CARRY,by Amanda Gorman,3,2022-01-23
